,ave_in_out,mean,n_samples,ncut,percentile,stdev,test_acc,test_loss,train_acc,train_loss,z_score,model,is_sig
0,0.3272024241859173,7.644784837525054,50,7.253363656307992,0.0196078431372549,0.10818735130893536,1.0,2.593733020403306e-05,1.0,1.104169804796887e-05,-3.617993938120694,LINE,True
1,0.31389923574809336,7.783065518171277,50,7.371919933657531,0.0196078431372549,0.10699032260433151,1.0,3.628697780077346e-05,1.0,2.1730128214888586e-05,-3.8428296551103296,LINE,True
2,0.315323160266685,7.667933483533581,50,7.35904521348008,0.0196078431372549,0.12236965826877005,1.0,3.864115571050206e-05,1.0,2.6526316846138796e-05,-2.5242227070297565,LINE,True
3,0.2988665078648,7.7082437552681835,50,7.510641566432322,0.0196078431372549,0.09615208580311954,1.0,4.8044561728602275e-05,1.0,2.1860051329228253e-05,-2.0551003879465553,LINE,True
4,0.320602343486355,7.910620109580387,50,7.311702248507859,0.0196078431372549,0.08206201561487428,1.0,0.00018121908563189208,1.0,0.00017136426308037093,-7.29835669505503,LINE,True
5,0.3974278526405122,8.892255987905246,50,6.685774218335358,0.0196078431372549,0.044246903545734,0.295199990272522,2.996637617492676,0.9031833410263062,0.2537345188856125,-49.86748433795483,LINE+DROPOUT,True
6,0.3587167760528649,8.891766920643574,50,6.987169888050055,0.0196078431372549,0.03809356727900964,0.2939000129699707,5.397706551361084,0.9206833243370056,0.20645701678593953,-49.997864958239106,LINE+DROPOUT,True
7,0.3724565275607659,8.88525276493848,50,6.877133485120385,0.0196078431372549,0.03211576032182996,0.30320000648498535,5.3123573974609375,0.9243333339691162,0.20458687488238017,-62.5275335129812,LINE+DROPOUT,True
8,0.3546842426362595,8.885730363238256,50,7.020136444183292,0.0196078431372549,0.032859451676872965,0.2939000129699707,4.985369870758056,0.9109500050544739,0.23081820242404938,-56.77495587572451,LINE+DROPOUT,True
9,0.39798435387843367,8.876844284265427,50,6.681630892660587,0.0196078431372549,0.03852673100711094,0.2937000095844269,4.942878282165528,0.9025166630744934,0.2501016200383504,-56.97896847774772,LINE+DROPOUT,True
10,0.26212191130413953,8.781821283355116,50,7.872756196883025,0.0196078431372549,0.08134111497579347,0.991349995136261,0.05517431935143541,1.0,0.00022161363534396514,-11.175960481272257,LINE-MNIST,True
11,0.24897207702787205,8.866846954024489,50,8.010979559891814,0.0196078431372549,0.05464694418937026,0.9904500246047974,0.06365311172505608,0.9999499917030334,0.00024766570416250033,-15.661761271898445,LINE-MNIST,True
12,0.2556020295179123,9.022117554789691,50,7.940688041597914,0.0196078431372549,0.05141001786059099,0.9900500178337097,0.06675032573585049,0.9999666810035706,0.00020894903422352703,-21.035384895688992,LINE-MNIST,True
13,0.26336103100122915,9.176513479675446,50,7.859976808261173,0.0196078431372549,0.04315937427027139,0.9908499717712402,0.05560295775091508,1.0,0.00016680810718098656,-30.50407225947936,LINE-MNIST,True
14,0.24183029926666064,9.117952207280666,50,8.088103176604305,0.0196078431372549,0.03171495768450661,0.9911999702453613,0.056068858254444784,1.0,7.53698247737096e-05,-32.472029158010294,LINE-MNIST,True
15,0.23047164299165956,8.445977675315724,50,8.21387121261394,0.0196078431372549,0.05977760215949365,0.9939967393875122,0.03579057561777563,1.0,1.5456715798501264e-05,-3.8828332739492817,LINE-MNIST-SEPARATED,True
16,0.2355315055952204,8.572652474581071,50,8.157366413753506,0.0196078431372549,0.05509755576953753,0.9935897588729858,0.03964294203262691,1.0,1.0700111548923089e-05,-7.537286455403338,LINE-MNIST-SEPARATED,True
17,0.2397579167298809,8.326702891450005,50,8.110761458996148,0.0392156862745098,0.07183278964367748,0.993793249130249,0.03561575106084903,1.0,1.4305147081998671e-05,-3.0061679843567544,LINE-MNIST-SEPARATED,False
18,0.22960309720857808,8.428509712395362,50,8.223649300497318,0.0196078431372549,0.09156551205655998,0.9935897588729858,0.043474441641111576,1.0,5.510973345043577e-06,-2.2373097391898207,LINE-MNIST-SEPARATED,True
19,0.19765368120942858,8.712742598182105,50,8.600255630556704,0.0392156862745098,0.04585098528768215,0.9938949942588806,0.04003522988860417,1.0,1.2688998739356882e-05,-2.453316257428831,LINE-MNIST-SEPARATED,False
20,0.3463815974774984,8.766148883190333,50,7.089001010752143,0.0196078431372549,0.04295737091252254,0.6315500140190125,1.433459654045105,0.8688750267028809,0.39174524868329363,-39.04214426561387,LINE-MNIST+DROPOUT,True
21,0.3771021699051671,8.697579949374102,50,6.840708193264103,0.0196078431372549,0.040651741962586765,0.6596500277519226,1.4595933057785033,0.8738250136375427,0.379827352865537,-45.67754458883814,LINE-MNIST+DROPOUT,True
22,0.3707176698680728,8.65724847859895,50,6.890867393226432,0.0196078431372549,0.06364498252809135,0.6302000284194946,2.087699977874756,0.866225004196167,0.412833984708786,-27.7536581079723,LINE-MNIST+DROPOUT,True
23,0.36827514369712433,8.724794235946502,50,6.910251944391659,0.0196078431372549,0.055846898075443414,0.630299985408783,1.6392924879074098,0.8734833598136902,0.39184086130460105,-32.49137112509962,LINE-MNIST+DROPOUT,True
24,0.3655230412651366,8.657273328009566,50,6.932224463059689,0.0196078431372549,0.05008103278668622,0.6329500079154968,1.7123927423477172,0.8818416595458984,0.3690131745497386,-34.44515356337604,LINE-MNIST+DROPOUT,True
25,0.2691536731536759,9.036838620097717,50,7.800781832580819,0.0196078431372549,0.027096310849759078,0.896316647529602,0.4461331530028744,0.9851794838905334,0.05381861561239527,-45.61716147893571,LINE-MNIST-SEPARATED+DROPOUT,True
26,0.27335756381428555,9.007827593490433,50,7.758377600145697,0.0196078431372549,0.03594665162737438,0.8940781354904175,0.5805929498697715,0.9834654927253723,0.057267419975348614,-34.75845278432678,LINE-MNIST-SEPARATED+DROPOUT,True
27,0.2646804442541556,9.050257212953921,50,7.846414858761302,0.0196078431372549,0.03311138523636073,0.9337607026100159,0.16880446713073594,0.9842720627784729,0.059092219204856335,-36.35735399166082,LINE-MNIST-SEPARATED+DROPOUT,True
28,0.26681090907288463,9.032938718138324,50,7.824614815736413,0.0196078431372549,0.04449456028049671,0.9123931527137756,0.25641668376565513,0.9828101992607117,0.060726213167152474,-27.15666577632311,LINE-MNIST-SEPARATED+DROPOUT,True
29,0.2827706908698009,9.054676202488467,50,7.665080041937833,0.0196078431372549,0.030442365934358284,0.8310948014259338,0.7973940733685259,0.9837847948074341,0.05912093828528787,-45.64678591496362,LINE-MNIST-SEPARATED+DROPOUT,True
